frame_idx,frame_id,timestamp,name,detections,matches,created,ambiguous,provisional,visible,elapsed_seconds
0,0,0.0,frame_000000,9,0,9,0,0,9,0.558081499999389
6,6,0.20058356589147286,frame_000006,11,5,3,3,0,8,0.5499523000326008
12,12,0.4011671317829457,frame_000012,13,11,0,2,0,11,0.6580885000294074
18,18,0.6017506976744186,frame_000018,7,3,0,4,0,3,0.5306640000781044
24,24,0.8023342635658914,frame_000024,9,4,1,4,0,5,0.5372272999957204
30,30,1.0029178294573644,frame_000030,8,4,0,4,0,4,0.5206076001049951
36,36,1.2035013953488372,frame_000036,9,4,1,4,0,5,0.5533085000934079
42,42,1.4040849612403101,frame_000042,8,6,0,1,1,6,0.4889738999772817
48,48,1.6046685271317829,frame_000048,6,3,1,0,2,4,0.4497709000715986
54,54,1.8052520930232558,frame_000054,8,4,0,0,4,4,0.5031230000313371
60,60,2.005835658914729,frame_000060,2,2,0,0,0,2,0.4102594000287354
66,66,2.2064192248062016,frame_000066,4,2,1,0,1,3,0.4273378999205306
72,72,2.4070027906976743,frame_000072,3,0,3,0,0,3,0.43236289999913424
78,78,2.6075863565891475,frame_000078,2,1,1,0,0,2,0.3915641000494361
84,84,2.8081699224806203,frame_000084,3,2,1,0,0,3,0.46174539998173714
90,90,3.008753488372093,frame_000090,1,1,0,0,0,1,0.44051450002007186
96,96,3.2093370542635657,frame_000096,1,1,0,0,0,1,0.4209555999841541
102,102,3.409920620155039,frame_000102,4,1,3,0,0,4,0.4909301999723539
108,108,3.6105041860465117,frame_000108,5,1,2,2,0,3,0.4825256000040099
114,114,3.8110877519379844,frame_000114,7,2,4,1,0,6,0.5128575999988243
120,120,4.011671317829458,frame_000120,6,5,0,1,0,5,0.5446942000417039
126,126,4.21225488372093,frame_000126,5,2,0,3,0,2,0.5039301000069827
132,132,4.412838449612403,frame_000132,6,3,1,2,0,4,0.5415968999732286
138,138,4.613422015503876,frame_000138,5,4,0,1,0,4,0.4974584999727085
144,144,4.814005581395349,frame_000144,3,2,0,1,0,2,0.45043470000382513
150,150,5.014589147286822,frame_000150,4,2,0,2,0,2,0.4705475000664592
156,156,5.215172713178295,frame_000156,3,2,0,1,0,2,0.48678209993522614
162,162,5.415756279069767,frame_000162,3,2,0,1,0,2,0.48517909995280206
168,168,5.6163398449612405,frame_000168,5,3,0,2,0,3,0.49529260001145303
173,173,5.783492816537468,frame_000173,4,2,0,2,0,2,0.46226359996944666
179,179,5.984076382428941,frame_000179,4,2,0,2,0,2,0.4795299000106752
185,185,6.184659948320413,frame_000185,4,2,0,2,0,2,0.49326029990334064
191,191,6.385243514211886,frame_000191,3,2,0,1,0,2,0.4675416999962181
197,197,6.58582708010336,frame_000197,4,3,0,1,0,3,0.4770131999393925
203,203,6.786410645994832,frame_000203,5,3,0,2,0,3,0.5074905999936163
209,209,6.986994211886305,frame_000209,8,6,0,2,0,6,0.5612224999349564
