frame_idx,frame_id,timestamp,name,detections,matches,created,ambiguous,provisional,visible,elapsed_seconds
0,0,0.0,frame_000000,9,0,9,0,0,9,2.7920574999880046
1,1,0.03343059431524548,frame_000001,9,9,0,0,0,9,0.7779642000095919
2,2,0.06686118863049095,frame_000002,10,9,1,0,0,10,0.7276364000281319
3,3,0.10029178294573643,frame_000003,9,9,0,0,0,9,0.6696894000051543
4,4,0.1337223772609819,frame_000004,9,8,1,0,0,9,0.6494481000117958
5,5,0.16715297157622738,frame_000005,11,5,2,4,0,7,0.6958118999609724
6,6,0.20058356589147286,frame_000006,11,7,0,4,0,7,0.734395100036636
7,7,0.23401416020671834,frame_000007,11,7,0,4,0,7,0.701304400106892
8,8,0.2674447545219638,frame_000008,13,11,0,2,0,11,0.7731953000184149
9,9,0.3008753488372093,frame_000009,10,10,0,0,0,10,0.6738251000642776
10,10,0.33430594315245477,frame_000010,10,7,0,3,0,7,0.6947719000745565
11,11,0.36773653746770024,frame_000011,12,12,0,0,0,12,0.765074499999173
12,12,0.4011671317829457,frame_000012,9,7,0,2,0,7,0.6968966000713408
13,13,0.4345977260981912,frame_000013,9,9,0,0,0,9,0.7013658999931067
14,14,0.46802832041343667,frame_000014,6,6,0,0,0,6,0.624882800038904
15,15,0.5014589147286822,frame_000015,9,6,0,3,0,6,0.682016099919565
16,16,0.5348895090439276,frame_000016,7,4,0,3,0,4,0.6533990000607446
17,17,0.5683201033591732,frame_000017,8,5,0,3,0,5,0.6504151999251917
18,18,0.6017506976744186,frame_000018,7,5,0,2,0,5,0.6357330000028014
19,19,0.6351812919896641,frame_000019,8,6,0,2,0,6,0.6374348000390455
20,20,0.6686118863049095,frame_000020,7,5,0,2,0,5,0.716940600075759
21,21,0.7020424806201551,frame_000021,9,6,1,2,0,7,0.6767799999797717
22,22,0.7354730749354005,frame_000022,9,7,0,2,0,7,0.7153581999009475
23,23,0.768903669250646,frame_000023,6,6,0,0,0,6,0.5937028999906033
24,24,0.8023342635658914,frame_000024,10,10,0,0,0,10,0.749199099955149
25,25,0.835764857881137,frame_000025,8,6,0,2,0,6,0.684272599988617
26,26,0.8691954521963824,frame_000026,9,9,0,0,0,9,0.7234054000582546
27,27,0.9026260465116279,frame_000027,9,9,0,0,0,9,0.6971593000926077
28,28,0.9360566408268733,frame_000028,6,4,0,2,0,4,0.7156652000267059
29,29,0.9694872351421189,frame_000029,9,6,1,2,0,7,0.7292811999795958
30,30,1.0029178294573644,frame_000030,6,4,0,2,0,4,0.6338482999708503
31,31,1.0363484237726097,frame_000031,10,9,1,0,0,10,0.8392766999313608
32,32,1.0697790180878552,frame_000032,10,10,0,0,0,10,0.7184684999519959
33,33,1.1032096124031008,frame_000033,10,10,0,0,0,10,0.7737402999773622
34,34,1.1366402067183463,frame_000034,9,7,0,2,0,7,0.7197646999265999
35,35,1.1700708010335916,frame_000035,8,8,0,0,0,8,0.6890423999866471
36,36,1.2035013953488372,frame_000036,7,5,0,2,0,5,0.68972320004832
37,37,1.2369319896640827,frame_000037,7,5,0,2,0,5,0.6563143000239506
38,38,1.2703625839793282,frame_000038,9,6,1,2,0,7,0.6763346999650821
39,39,1.3037931782945738,frame_000039,9,7,0,2,0,7,0.7471466000424698
40,40,1.337223772609819,frame_000040,7,5,0,2,0,5,0.6211575000779703
41,41,1.3706543669250646,frame_000041,8,6,0,2,0,6,0.7478215000592172
