frame_idx,frame_id,timestamp,name,detections,matches,created,ambiguous,provisional,visible,elapsed_seconds
0,0,0.0,frame_000000,9,0,9,0,0,9,2.600472600082867
6,6,0.20058356589147286,frame_000006,11,5,3,3,0,8,0.9112611999735236
12,12,0.4011671317829457,frame_000012,13,11,0,2,0,11,0.6013109000632539
18,18,0.6017506976744186,frame_000018,7,3,0,4,0,3,0.5384711999213323
24,24,0.8023342635658914,frame_000024,9,4,1,4,0,5,0.523810499929823
30,30,1.0029178294573644,frame_000030,8,4,0,4,0,4,0.5505562000907958
36,36,1.2035013953488372,frame_000036,9,4,1,4,0,5,0.5612567999633029
42,42,1.4040849612403101,frame_000042,8,6,0,1,1,6,0.5341097000055015
48,48,1.6046685271317829,frame_000048,6,3,1,0,2,4,0.45843160001095384
54,54,1.8052520930232558,frame_000054,8,4,0,0,4,4,0.49587220000103116
60,60,2.005835658914729,frame_000060,2,2,0,0,0,2,0.43834979995153844
66,66,2.2064192248062016,frame_000066,4,2,1,0,1,3,0.4412906999932602
72,72,2.4070027906976743,frame_000072,3,0,3,0,0,3,0.4163004000438377
78,78,2.6075863565891475,frame_000078,2,1,1,0,0,2,0.417695099953562
84,84,2.8081699224806203,frame_000084,3,2,1,0,0,3,0.4695713999681175
90,90,3.008753488372093,frame_000090,1,1,0,0,0,1,0.44324650010094047
96,96,3.2093370542635657,frame_000096,1,1,0,0,0,1,0.43243769998662174
102,102,3.409920620155039,frame_000102,4,1,3,0,0,4,0.47055299999192357
108,108,3.6105041860465117,frame_000108,5,1,2,2,0,3,0.4922886999556795
114,114,3.8110877519379844,frame_000114,7,2,4,1,0,6,0.5252091999864206
120,120,4.011671317829458,frame_000120,6,5,0,1,0,5,0.5712150000035763
126,126,4.21225488372093,frame_000126,5,2,0,3,0,2,0.49931610003113747
132,132,4.412838449612403,frame_000132,6,3,1,2,0,4,0.5490602999925613
138,138,4.613422015503876,frame_000138,5,4,0,1,0,4,0.518184999935329
144,144,4.814005581395349,frame_000144,3,2,0,1,0,2,0.45997409999836236
150,150,5.014589147286822,frame_000150,4,2,0,2,0,2,0.47944159992039204
156,156,5.215172713178295,frame_000156,3,2,0,1,0,2,0.5057739999610931
162,162,5.415756279069767,frame_000162,3,2,0,1,0,2,0.495969699928537
168,168,5.6163398449612405,frame_000168,5,3,0,2,0,3,0.4942200999939814
173,173,5.783492816537468,frame_000173,4,2,0,2,0,2,0.47812660003546625
179,179,5.984076382428941,frame_000179,4,2,0,2,0,2,0.509053900022991
185,185,6.184659948320413,frame_000185,4,2,0,2,0,2,0.48829849995672703
191,191,6.385243514211886,frame_000191,3,2,0,1,0,2,0.48299589997623116
197,197,6.58582708010336,frame_000197,4,3,0,1,0,3,0.48341320001054555
203,203,6.786410645994832,frame_000203,5,3,0,2,0,3,0.5210841000080109
209,209,6.986994211886305,frame_000209,8,6,0,2,0,6,0.5691012000897899
